inventor_id,name,country
fl:he_ln:huber-5,Helmuth Huber,Unknown
fl:ro_ln:tench-1,Robert J. Tench,Unknown
fl:pa_ln:conlan-1,Patrick Conlan,Unknown
fl:ra_ln:bordawekar-2,Rajesh Bordawekar,Unknown
fl:ha_ln:xu-113,Hao Xu,Unknown
fl:al_ln:lacour-2,Alain P. Lacour,Unknown
fl:an_ln:besana-1,Andrea Besana,Unknown
fl:ma_ln:kanda-11,Masakazu Kanda,Unknown
fl:ta_ln:konishi-36,Takayoshi Konishi,Unknown
fl:ka_ln:teichert-1,Katrin Teichert,Unknown
fl:ji_ln:zhang-656,Jian Zhang,Unknown
fl:ca_ln:kreuzer-1,Carsten Heinrich Kreuzer,Unknown
fl:ya_ln:kanou-4,Yasuaki Kanou,Unknown
fl:su_ln:kochhar-1,Sunil Kochhar,Unknown
fl:pi_ln:stenuick-1,Pierre Stenuick,Unknown
fl:ya_ln:akatsuka-1,Yasumasa Akatsuka,Unknown
fl:ch_ln:yang-1300,Chui Woong Yang,Unknown
000jdp4dd6gu6ah3gvb1u0biq,Hiroshi Kuwako,Unknown
fl:ro_ln:allaire-1,Roger A. Allaire,Unknown
fl:mo_ln:elidrissi-1,Moulay Rachid Elidrissi,Unknown
fl:cu_ln:chen-26,Cuihong Chen,Unknown
fl:ta_ln:kim-410,Taehyun Kim,Unknown
fl:mu_ln:krishnan-7,Murali R. Krishnan,Unknown
fl:pi_ln:degroef-1,Pierre De Groef,Unknown
fl:ja_ln:fleischer-1,James F. Fleischer,Unknown
fl:he_ln:madan-3,Herb. S. Madan,Unknown
fl:do_ln:kubicek-1,Donald H. Kubicek,Unknown
fl:ha_ln:yu-199,Haifeng Yu,Unknown
fl:ma_ln:muramatsu-5,Makoto Muramatsu,Unknown
fl:da_ln:skidmore-1,David A. Skidmore,Unknown
fl:mi_ln:habig-1,Michael M. Habig,Unknown
fl:yu_ln:itou-7,Yuichi Itou,Unknown
fl:ju_ln:wang-182,Jun Wang,Unknown
fl:ra_ln:yarlagadda-1,Ramesh Yarlagadda,Unknown
fl:da_ln:chan-50,Danny Chan,Unknown
fl:th_ln:petit-1,Thomas J. Petit,Unknown
fl:da_ln:gist-1,David Ryan Gist,Unknown
fl:ja_ln:birk-2,Janel A. Birk,Unknown
fl:ja_ln:kong-3,Jackson Chung Peng Kong,Unknown
fl:me_ln:campbell-5,Melody G. Campbell,Unknown
fl:mi_ln:boisclair-1,Michel Boisclair,Unknown
fl:be_ln:bierbaumer-1,Benjamin Bierbaumer,Unknown
fl:ja_ln:lindenauer-1,Jay Lindenauer,Unknown
fl:zh_ln:shi-37,Zhifeng SHI,Unknown
fl:jo_ln:kramer-17,Joachim Ernst Kramer,Unknown
fl:yo_ln:kim-597,Youn Tae Kim,Unknown
fl:ta_ln:li-30,Tat Wah Li,Unknown
fl:pa_ln:bertics-1,Paul J. Bertics,Unknown
fl:ju_ln:kwon-30,Jun Seok Kwon,Unknown
fl:ti_ln:ji-2,Tingfang Ji,Unknown
fl:hi_ln:inoue-61,Hiroshi Inoue,Unknown
fl:mu_ln:sawada-3,Munenori Sawada,Unknown
fl:ke_ln:stockmeier-2,Kevin C. Stockmeier,Unknown
fl:ur_ln:sonnewald-1,Ursula Sonnewald,Unknown
fl:sh_ln:siddiqui-12,Shahab Siddiqui,Unknown
fl:ra_ln:kumar-90,Ravinder Kumar,Unknown
fl:je_ln:satterfield-2,Jesse Clay Satterfield,Unknown
fl:li_ln:wang-482,Lifeng Wang,Unknown
fl:pi_ln:furman-1,Piotr Furman,Unknown
fl:vi_ln:nagarajan-1,Viswanath Nagarajan,Unknown
fl:bo_ln:zapletal-1,Bohumila Zapletal,Unknown
fl:ko_ln:in-1,Kouichi In,Unknown
fl:mi_ln:gifford-5,Michael F. Gifford,Unknown
fl:ja_ln:thompson-32,James M. Thompson,Unknown
fl:ta_ln:katoh-25,Takao Katoh,Unknown
fl:pe_ln:andrews-5,Peter Scott Andrews,Unknown
fl:se_ln:otsubo-1,Seiichi Otsubo,Unknown
fl:fa_ln:beteille-1,Fabien Beteille,Unknown
fl:jo_ln:mcmichael-6,Jonathan R. McMichael,Unknown
fl:ja_ln:chein-1,Jason Shih Shen Chein,Unknown
fl:ja_ln:boggs-2,Janet Boggs,Unknown
fl:je_ln:merino-1,Jean-Francois Merino,Unknown
fl:to_ln:matsuda-38,Toru Matsuda,Unknown
fl:ma_ln:tanaka-94,Masahide Tanaka,Unknown
fl:wi_ln:starke-3,William J. Starke,Unknown
fl:mi_ln:chih-2,Ming-Hui Chih,Unknown
fl:st_ln:sunshine-3,Steven A. Sunshine,Unknown
fl:ji_ln:cho-15,Jin Kyeom Cho,Unknown
fl:jo_ln:ketchum-2,John W. Ketchum,Unknown
fl:sh_ln:lin-493,Shu-Hung Lin,Unknown
fl:wi_ln:loxsom-1,William Loxsom,Unknown
fl:ts_ln:yu-50,Tsung-Hsin Yu,Unknown
fl:la_ln:ames-1,Lawrence L. Ames,Unknown
fl:ma_ln:hayakawa-11,Masahiko Hayakawa,Unknown
fl:ge_ln:steiniger-1,Gerhard Steiniger,Unknown
fl:vi_ln:chandrasekaran-2,Vinodh Chandrasekaran,Unknown
fl:st_ln:burstrom-1,Stefan Burström,Unknown
fl:pa_ln:burrows-2,Paul E. Burrows,Unknown
fl:li_ln:du-34,Liang Du,Unknown
fl:mi_ln:mennicken-1,Michael Mennicken,Unknown
fl:ji_ln:clayton-2,Jimmy L. Clayton,Unknown
fl:mi_ln:kim-324,Minji Kim,Unknown
fl:an_ln:roy-19,Anirban Roy,Unknown
fl:dr_ln:jeremic-1,Dragan Jeremic,Unknown
fl:ma_ln:rossetti-3,Massimiliano Rossetti,Unknown
fl:mi_ln:lin-100,Ming-Sheng Lin,Unknown
fl:al_ln:finn-1,Alan Matthew Finn,Unknown
fl:mi_ln:hufen-1,Michael Hufen,Unknown
fl:su_ln:chun-27,Sung Duck Chun,Unknown
fl:al_ln:goldner-1,Alla Goldner,Unknown
fl:sh_ln:sato-30,Shinichi Sato,Unknown
fl:fr_ln:klose-1,Frank Klose,Unknown
fl:jo_ln:zupan-1,Joseph Zupan,Unknown
fl:mi_ln:anson-1,Michael J. Anson,Unknown
fl:ki_ln:suzuki-35,Kiyoshi Suzuki,Unknown
